Awesome Computational Design	#awesome-computational-design
Antmicro EMC	https://github.com/antmicro/gerber2ems
animony	https://github.com/mkeeter/antimony
Blender Nodes	https://docs.blender.org/manual/en/latest/interface/controls/nodes/index.html
Build123d	https://github.com/gumyr/build123d
CadQuery	https://github.com/CadQuery/cadquery
Cantera	https://github.com/Cantera/cantera
Elmer FEM	https://github.com/ElmerCSC/elmerfem
Fenics	https://github.com/FEniCS
JupyterCAD	https://github.com/jupytercad/jupytercad
Gmsh	https://github.com/sasobadovinac/gmsh
PolymorphicBlocks	https://github.com/BerkeleyHCI/PolymorphicBlocks
Implicitcad	https://github.com/Haskell-Things/ImplicitCAD
JSCAD	https://github.com/jscad/OpenJSCAD.org
MOOSE Framework	https://github.com/idaholab/moose
OpenEMS	https://github.com/thliebig/openEMS-Project/
OpenFOAM	https://github.com/OpenFOAM
OpenModelica	https://github.com/OpenModelica
OpenVDB	https://github.com/AcademySoftwareFoundation/openvdb
Orlab	https://github.com/cameronBrooks11/orlab
PicoGK	https://github.com/leap71/PicoGK
Pcbflow	https://github.com/michaelgale/pcbflow
CuFlow	https://github.com/jamesbowman/cuflow
Pyomo	https://github.com/Pyomo/pyomo
PyVista	https://github.com/pyvista/pyvista
Rocketpy	https://github.com/RocketPy-Team/RocketPy
scikit-geometry	https://github.com/scikit-geometry/scikit-geometry
SfePy	https://github.com/sfepy/sfepy
SKiDL	https://github.com/devbisme/skidl
SolidPython (SolidCode)	https://github.com/SolidCode/SolidPython
SolidPython (jeff-dh fork)	https://github.com/jeff-dh/SolidPython
