Antmicro EMC	antmicro/gerber2ems	ok	antmicro/gerber2ems	2026-04-23	255	Python interface to OpenEMS,  for PCB trace simulation. Accepts Gerber files as input. Features automatic grid generation and postprocessing.
animony	mkeeter/antimony	ok	mkeeter/antimony	2025-10-12	2187	CAD from a parallel universe
Blender Nodes	https://docs.blender.org/manual/en/latest/interface/controls/nodes/index.html	NON-GITHUB	-	-	-
Build123d	gumyr/build123d	ok	gumyr/build123d	2026-08-21	2901	A python CAD programming library
CadQuery	CadQuery/cadquery	ok	CadQuery/cadquery	2026-08-22	5641	A python parametric CAD scripting framework based on OCCT
Cantera	Cantera/cantera	ok	Cantera/cantera	2026-08-12	841	Chemical kinetics, thermodynamics, and transport tool suite
Elmer FEM	ElmerCSC/elmerfem	ok	ElmerCSC/elmerfem	2026-08-23	1673	Official git repository of Elmer FEM software
Fenics	FEniCS	ORG-NOT-REPO	-	-	-
JupyterCAD	jupytercad/jupytercad	ok	jupytercad/JupyterCAD	2026-08-03	229	A JupyterLab extension for collaborative 3D geometry modeling
Gmsh	sasobadovinac/gmsh	ok	sasobadovinac/gmsh	2023-07-01	67	A three-dimensional finite element mesh generator with built-in pre- and post-processing facilities
PolymorphicBlocks	BerkeleyHCI/PolymorphicBlocks	ok	BerkeleyHCI/PolymorphicBlocks	2026-08-22	89	A Python-based hardware description language for PCBs for higher-level (block-diagram / system-architecture level) PCB design through libraries of directly reusable subcircuit generators.
Implicitcad	Haskell-Things/ImplicitCAD	ok	Haskell-Things/ImplicitCAD	2026-04-13	1570	A math-inspired CAD program in haskell. CSG, bevels, and shells; 2D & 3D geometry; 2D gcode generation...
JSCAD	jscad/OpenJSCAD.org	ok	jscad/OpenJSCAD.org	2026-08-05	3230	JSCAD is an open source set of modular, browser and command line tools for creating parametric 2D and 3D designs with JavaScript code. It provides a quick, precise and reproducible method for generating 3D models, and is especially useful for creating ready-to-print 3D designs.
MOOSE Framework	idaholab/moose	ok	idaholab/moose	2026-08-22	2334	Multiphysics Object Oriented Simulation Environment
OpenEMS	thliebig/openEMS-Project	ok	thliebig/openEMS-Project	2026-08-16	745	openEMS is a free and open electromagnetic field solver using the FDTD method.
OpenFOAM	OpenFOAM	ORG-NOT-REPO	-	-	-
OpenModelica	OpenModelica	ORG-NOT-REPO	-	-	-
OpenVDB	AcademySoftwareFoundation/openvdb	ok	AcademySoftwareFoundation/openvdb	2026-08-23	3370	OpenVDB - Sparse volume data structure and tools
Orlab	cameronBrooks11/orlab	ok	CameronBrooks11/orlab	2026-07-17	3	OrLab is a Python module designed for interacting and scripting with OpenRocket, with enhanced capabilities for simulations and computational workflows.
PicoGK	leap71/PicoGK	ok	leap71/PicoGK	2026-08-22	1062	PicoGK is a compact and robust geometry kernel for Computational Engineering
Pcbflow	michaelgale/pcbflow	ok	michaelgale/pcbflow	2025-02-12	194	Python based Printed Circuit Board (PCB) layout and design package based on CuFlow.
CuFlow	jamesbowman/cuflow	ok	jamesbowman/cuflow	2026-08-16	273	experimental procedural PCB layout program
Pyomo	Pyomo/pyomo	ok	Pyomo/pyomo	2026-08-18	2510	An object-oriented algebraic modeling language in Python for structured optimization problems.
PyVista	pyvista/pyvista	ok	pyvista/pyvista	2026-08-23	3780	3D visualization and mesh analysis for science and engineering
Rocketpy	RocketPy-Team/RocketPy	ok	RocketPy-Team/RocketPy	2026-08-19	1047	Next generation High-Power Rocketry 6-DOF Trajectory Simulation
scikit-geometry	scikit-geometry/scikit-geometry	ok	scikit-geometry/scikit-geometry	2024-01-31	451	Scientific Python Geometric Algorithms Library
SfePy	sfepy/sfepy	ok	sfepy/sfepy	2026-08-14	838	Main SfePy repository
SKiDL	devbisme/skidl	ok	devbisme/skidl	2026-08-20	1629	SKiDL is a library that lets you design electronic circuits using Python.
SolidPython (SolidCode)	SolidCode/SolidPython	ok	SolidCode/SolidPython	2025-10-08	1262	A python frontend for solid modelling that compiles to OpenSCAD
SolidPython (jeff-dh fork)	jeff-dh/SolidPython	ok	jeff-dh/SolidPython	2026-01-04	245	A python frontend for solid modelling that compiles to OpenSCAD
